slit position (mm) +/- 0.05,"intensity (V), run #1","intensity (V), run #2","intensity (V), run #3"
0,5.9,5.9,6
0.5,5.9,5.9,6
1,5.9,5.9,6
1.5,5.9,5.9,6
2,5.9,5.9,6
2.5,6,5.9,6
3,5.9,5.9,6
3.5,6,5.9,6
4,5.9,5.9,6
4.5,5.9,5.9,5.9
5,5.9,5.9,5.9
5.5,5.9,5.9,5.9
6,5.9,5.9,5.9
6.5,6,6,5.9
7,6,5.9,5.9
7.5,5.9,5.9,6
8,5.9,5.9,6
8.5,6,6,5.9
9,6,6.1,6
9.5,5.9,6,6
10,6.1,6.1,6
