slit position (mm) +/- 0.05,"counts/(10sec), run #1","counts/(10sec), run #2","counts/(10sec), run #3"
0,64,71,74
0.5,62,67,54
1,61,62,75
1.5,72,60,56
2,60,62,59
2.5,69,76,65
3,57,59,64
3.5,52,83,64
4,69,56,62
4.5,71,64,63
5,64,56,68
5.5,68,76,73
6,55,72,72
6.5,56,67,68
7,52,60,82
7.5,68,73,59
8,69,68,51
8.5,59,78,57
9,87,89,104
9.5,101,89,95
10,125,121,106
