slit position (mm) +/- 0.05,"intensity (V), run #1","intensity (V), run #2","intensity (V), run #3"
0,5.8,5.9,5.9
0.5,5.8,5.9,5.9
1,5.8,5.9,5.9
1.5,5.8,5.9,5.9
2,5.8,5.9,5.9
2.5,5.9,5.9,5.9
3,5.9,5.9,5.8
3.5,5.8,5.9,5.9
4,5.8,5.9,5.9
4.5,5.9,5.9,5.9
5,5.8,5.9,5.9
5.5,5.8,5.9,5.9
6,5.8,5.9,5.9
6.5,5.8,5.9,5.9
7,5.8,5.9,5.9
7.5,5.8,5.9,5.9
8,5.8,5.9,5.9
8.5,5.8,5.9,5.9
9,5.8,6,6
9.5,5.8,6,5.9
10,5.9,6,6
