Position,readings 1 (count/10sec.),readings 2 (count/10sec.),readings 3 (count/10sec.)
0,62,58,61
0.5,74,70,69
1,77,42,66
1.5,65,78,58
2,67,75,65
2.5,58,78,69
3,63,42,69
3.5,67,58,62
4,76,80,75
4.5,74,66,69
5,73,64,58
5.5,63,65,72
6,71,52,54
6.5,77,72,64
7,64,74,66
7.5,63,63,63
8,61,55,80
8.5,75,96,83
9,83,88,65
9.5,89,105,105
10,93,126,123
